Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Documentary', 'Special Interest']",91,Tony Kaye,94,"[' Noam Chomsky', ' Alan M. Dershowitz', ' Nat Hentoff', ' Flip Benham', ' Dallas Blanchard', ' Pat Buchanan']",Lake of Fire (2007)
"['Drama', 'Romance', 'Comedy']",93,Richard Linklater,100,"[' Ethan Hawke', ' Julie Delpy', ' Andrea Eckert', ' Hanno P\xc3\xb6schl', ' Karl Bruckschwaiger', ' Tex Rubinowitz']",Before Sunrise (1995)
"['Science Fiction & Fantasy', 'Horror']",61,David Cronenberg,86,"[' Paul Hampton', ' Joe Silver', ' Alan Migicovsky', ' Lynn Lowry', ' Susan Petrie', ' Barbara Steele']",Shivers (They Came from Within) (The Parasite Murders) (1975)
"['Drama', 'Horror']",84,Dario Argento,95,"[' Jessica Harper', ' Stefania Casini', ' Joan Bennett', ' Alida Valli', ' Udo Kier', ' Margherita Horowitz']",Suspiria (1977)
"['Mystery & Suspense', 'Drama']",83,Leslie McCleave,40,"[' Catherine Kellner', ' Ebon Moss-Bachrach', ' Jeffrey Ware', ' James Urbaniak', ' Jeff Ware', ' Rebecca Harris']",Road (2005)
"['Drama', 'Comedy']",55,Jonathan Lisecki,90,"[' Jenn Harris', ' Matthew Wilkas', ' Mike Doyle', ' Anna Margaret Hollym...', ' Jack Ferver', ' Jonathan Lisecki']",Gayby (2012)
"['Art House & International', 'Drama']",74,Claire Denis,86,"[' Michael Subor', ' Gregoire Colin', ' Jean-Marc Teriipaia', ' Bambou', ' Florence Loiret-Cail...', ' Yekatarina Golueva']",The Intruder (L'Intrus) (2005)
"['Mystery & Suspense', 'Drama']",67,Boris Ingster,83,"[' Peter Lorre', ' Elisha Cook Jr.', ' Margaret Tallichet', ' John McGuire', ' Charles Waldron', ' Charles Halton']",Stranger on the Third Floor (1940)
"['Musical & Performing Arts', 'Drama']",71,Sean Patrick Mcnamara,15,"[' Hilary Duff', ' Oliver James', ' Rita Wilson', ' David Keith', ' Jason Ritter', ' James Avery']",Raise Your Voice (2004)
"['Drama', 'Action & Adventure']",46,Antoine Fuqua,43,"[' Richard Gere', ' Don Cheadle', ' Ethan Hawke', ' Wesley Snipes', ' Will Patton', ' Lili Taylor']",Brooklyn's Finest (2010)
"['Drama', 'Romance']",56,Adrian Lyne,64,"[' Mickey Rourke', ' Kim Basinger', ' Margaret Whitton', ' David Margulies', ' Christine Baranski', ' Karen Young']",9 1/2 Weeks (1986)
